Naam;Aantal
Rosemary;685
Scarlet;682
Amanda;681
Danielle;678
Emelia;678
Ryan;678
Carolina;676
Astrid;675
Kensley;675
Shiloh;675
Maci;673
Francesca;671
Rory;670
Celine;668
Kamryn;668
Zariah;665
Liana;664
Poppy;664
Maliyah;663
Keira;661
Skyler;656
Noa;655
Skye;654
Nadia;649
Addilyn;647
Rosie;646
Eve;644
Sarai;644
Edith;643
Jolene;643
Maddison;639
Meadow;638
Charleigh;637
Matilda;631
Elliott;630
Madelynn;630
Holly;629
Leona;628
Azalea;627
Katie;626
Mira;624
Ari;622
Kaitlyn;622
Danna;620
Cameron;619
Kyla;619
Bristol;618
Kora;616
Armani;615
Nia;615
Malani;611
Dylan;610
Remy;610
Maia;609
Dior;605
Legacy;604
Alessia;601
Shelby;599
Maryam;598
Sylvia;596
Yaretzi;596
Lorelei;594
Madilynn;592
Abby;591
Helena;590
Jimena;589
Elisa;587
Renata;587
Amber;584
Aviana;584
Carter;583
Emmy;583
Haley;581
Alondra;580
Elaine;579
Erin;578
April;577
Emely;574
Imani;574
Kennedi;574
Lorelai;568
Hanna;566
Kelsey;566
Aurelia;565
Colette;565
Jaliyah;564
Kylee;560
Macie;560
Aisha;559
Dorothy;559
Charley;558
Kathryn;558
Adelina;554
Adley;554
Monroe;554
Sierra;553
Ailani;550
Miranda;549
Mikayla;548
Alejandra;546
Amirah;546
Jada;546
Jazlyn;543
Jenna;542
Jayleen;540
Beatrice;535
Kendra;534
Lyra;534
Nola;533
Emberly;532
Mckinley;532
Myra;532
Katalina;525
Antonella;524
Zelda;524
Alanna;520
Amaia;520
Priscilla;518
Briar;517
Kaliyah;517
Itzel;516
Oaklyn;516
Alma;515
Mallory;515
Novah;513
Amalia;510
Fernanda;509
Alia;506
Angelica;506
Elliot;506
Justice;505
Mae;504
Cecelia;503
Gloria;502
Ariya;501
Virginia;501
Cheyenne;500
Aleah;497
Jemma;497
Henley;496
Meredith;496
Leyla;493
Lennox;491
Ensley;490
Zahra;489
Reina;488
Frankie;487
Lylah;487
Nalani;486
Reyna;486
Saige;484
Ivanna;483
Aleena;482
Emerie;481
Ivory;481
Leslie;481
Alora;479
Ashlyn;479
Bethany;478
Bonnie;476
Sasha;476
Xiomara;475
Salem;474
Adrianna;473
Dayana;473
Clementine;472
Karina;472
Karsyn;472
Emmie;471
Julie;471
Julieta;471
Briana;470
Carly;469
Macy;469
Marie;468
Oaklee;467
Christina;466
Malaysia;465
Ellis;463
Irene;462
Anne;461
Anahi;460
Mara;460
Rhea;459
Davina;458
Dallas;457
Jayda;455
Mariam;455
Skyla;454
Siena;453
Elora;452
Marilyn;452
Jazmin;451
Megan;451
Rosa;450
Savanna;450
Allyson;449
Milan;449
Coraline;446
Johanna;446
Melany;446
Chelsea;444
Michaela;443
Melina;442
Angie;441
Cassandra;439
Yara;439
Kassidy;437
Liberty;436
Lilian;436
Avah;435
Anya;434
Laney;434
Navy;433
Opal;433
Amani;432
Zaylee;432
Mina;431
Sloan;431
Romina;428
Ashlynn;427
Aliza;426
Liv;426
Malaya;426
Blaire;423
Janelle;422
Kara;422
Analia;419
Hadassah;419
Hayley;419
Karla;418
Chaya;416
Cadence;415
Kyra;414
Alena;413
Ellianna;413
Katelyn;413
Kimber;413
Laurel;413
Lina;413
Capri;411
Braelyn;410
Faye;409
Kamiyah;409
Kenna;408
Louise;408
Calliope;404
Kaydence;402
Nala;402
Tiana;402
Aileen;401
Sunny;401
Zariyah;401
Milana;400
Giuliana;399
Eileen;398
Elodie;398
Rayna;396
Monica;395
Galilea;394
Journi;394
Lara;394
Marina;394
Aliana;393
Harmoni;391
Jamie;390
Holland;389
Emmalyn;388
Lauryn;387
Chanel;386
Tinsley;386
Jessie;385
Lacey;385
Elyse;384
Janiyah;384
Jolie;384
Ezra;383
Marleigh;383
Roselyn;383
Lillie;382
Louisa;382
Madisyn;379
Penny;379
Kinslee;378
Treasure;372
Zaniyah;372
Estella;370
Jaylah;370
Khaleesi;370
Alexia;369
Dulce;369
Indie;369
Maxine;369
Waverly;368
Giovanna;367
Miley;366
Saoirse;366
Estrella;365
Greta;365
Rosalia;365
Mylah;362
Teresa;362
Bridget;361
Kelly;361
Adalee;360
Aubrie;360
Lea;360
Harlee;359
Anika;358
Itzayana;358
Hana;357
Kaisley;357
Mikaela;357
Naya;356
Avalynn;355
Margo;355
Sevyn;355
Florence;354
Keilani;354
Lyanna;351
Joelle;350
Kataleya;350
Royal;350
Averi;349
Kallie;349
Winnie;349
Baylee;348
Martha;348
Pearl;348
Alaiya;347
Rayne;347
Sylvie;347
Brylee;346
Jazmine;346
Ryann;346
Kori;345
Noemi;345
Haylee;344
Julissa;344
Celia;343
Laylah;343
Rebekah;343
Rosalee;342
Aya;341
Bria;341
Adele;340
Aubrielle;340
Tiffany;340
Addyson;338
Kai;338
Bellamy;337
Leilany;337
Princess;337
Chana;336
Estelle;336
Selene;335
Sky;335
Dani;334
Thalia;334
Ellen;333
Rivka;333
Amelie;332
Andi;332
Kynlee;332
Raina;332
Vienna;332
Alianna;331
Livia;331
Madalyn;331
Mercy;331
Novalee;331
Ramona;331
Vada;331
Berkley;330
Gwen;330
Persephone;330
Milena;329
Paula;329
Clare;328
Kairi;327
Linda;327
Paulina;327
Kamilah;326
Amoura;325
Hunter;325
Isabela;325
Karen;325
Marianna;325
Sariyah;325
Theodora;325
Annika;324
Kyleigh;324
Nellie;324
Scarlette;324
Keyla;323
Kailey;322
Mavis;321
Lilianna;320
Rosalyn;320
Sariah;320
Tori;320
Yareli;320
Aubriella;319
Bexley;319
Bailee;318
Jianna;317
Keily;316
Annabella;315
Azariah;315
Denisse;315
Promise;314
August;312
Hadlee;312
Halle;312
Fallon;311
Oakleigh;311
Zaria;311
Jaylin;310
Paisleigh;310
Crystal;309
Ila;309
Aliya;307
Cynthia;307
Giana;307
Maleah;307
Rylan;307
Aniya;306
Denise;306
Emmeline;306
Scout;306
Simone;306
Noah;305
Zora;304
Meghan;303
Landry;302
Ainhoa;301
Lilyana;301
Noor;301
Belen;300
Brynleigh;299
Cleo;299
Meilani;299
Karter;296
Amaris;295
Frida;295
Iliana;295
Violeta;295
Addisyn;294
Nancy;294
Denver;293
Leanna;293
Braylee;290
Kiana;290
Wrenley;290
Barbara;289
Khalani;289
Aspyn;287
Ellison;287
Judith;287
Robin;287
Valery;287
Aila;286
Deborah;286
Cara;285
Clarissa;285
Iyla;285
Lexie;285
Anais;284
Kaylie;284
Nathalie;284
Alisson;281
Della;281
Addilynn;280
Elsa;280
Zoya;280
Layne;278
Marlowe;278
Jovie;277
Kenia;277
Samira;277
Jaylee;276
Jenesis;276
Etta;275
Shay;275
Amayah;274
Avayah;274
Egypt;274
Flora;274
Raquel;274
Whitney;273
Zola;273
Giavanna;272
Raya;272
Veda;272
Halo;271
Paloma;271
Nataly;270
Whitley;270
Dalary;269
Drew;269
Guadalupe;268
Kamari;268
Esperanza;266
Loretta;266
Malayah;266
Natasha;266
Stormi;266
Ansley;265
Carolyn;265
Corinne;265
Paola;265
Brittany;264
Emerald;264
Freyja;264
Zainab;264
Artemis;263
Jillian;263
Kimora;263
Zoie;263
Aislinn;262
Emmaline;262
Ayleen;261
Queen;261
Jaycee;260
Murphy;260
Nyomi;260
Elina;259
Hadleigh;259
Marceline;259
Marisol;259
Yasmin;259
Zendaya;259
Chandler;258
Emani;258
Jaelynn;258
Kaiya;258
Nathalia;258
Violette;258
Joyce;257
Paityn;257
Elisabeth;256
Emmalynn;256
Luella;256
Yamileth;256
Aarya;255
Luisa;255
Zhuri;255
Araceli;254
Harleigh;254
Madalynn;254
Melani;254
Laylani;253
Magdalena;253
Mazikeen;253
Belle;252
Kadence;252
Kiera;252
Cordelia;251
Ingrid;251
Jaelyn;251
Susan;251
Birdie;249
Kathleen;249
Heavenly;248
Perla;248
Christine;247
Emilee;247
Guinevere;247
Taliyah;247
Billie;246
Erika;246
Aarna;245
India;245
Arely;244
Carla;244
Jewel;244
Aleia;243
Baylor;243
Jaylani;243
Claudia;242
Jayde;242
Lindsey;242
Luz;242
Ryder;242
Austyn;241
Gianni;241
Goldie;241
Indigo;241
Karlee;241
Renee;241
Amiya;240
Love;240
Rosalina;240
Jaylene;239
Lailah;239
Neveah;239
Nyra;239
Salma;239
Blessing;238
Jazlynn;238
Spencer;238
Azaria;237
Kingsley;237
Marcella;237
Mattie;237
Arlette;236
Avani;235
Lisa;235
Tenley;235
Arden;234
Kaya;234
Dana;232
Jana;232
Micah;232
Saanvi;232
Londynn;231
Adrienne;230
Alyson;230
Casey;230
Eleanora;230
Leena;230
Clover;229
Miah;229
Nathaly;229
Aiyana;228
Dalia;228
Desiree;228
Everley;228
Lianna;228
Micaela;228
Rae;228
Ayva;227
Dixie;227
Alannah;226
Evalyn;226
Harriet;226
Maylee;226
Aadhya;225
Aminah;225
Marissa;224
Raylee;224
Rilynn;224
Sailor;224
Mollie;223
Alisha;222
Ivana;222
Maliah;222
Myah;222
Patience;222
Winifred;222
Kamora;221
Kamilla;220
Layan;220
Marigold;220
Avalyn;219
Ayah;219
Hailee;219
Sandra;219
Sapphire;219
Ann;218
Hensley;218
Kaelyn;218
Lenora;218
Amia;217
Cherish;217
Dalilah;217
Erica;217
Maelynn;217
Tatiana;217
Elia;216
Amal;214
Jhene;214
Joselyn;214
Lillianna;214
Nairobi;213
Roxanne;213
Sonia;213
Andie;212
Patricia;212
Maisy;211
Viola;211
Xena;211
Abril;210
Caylee;210
Kahlani;210
Raylynn;210
Annalee;209
Kaylynn;209
Lizbeth;209
Tallulah;209
Marjorie;208
Kaylin;207
Loyalty;207
Ocean;207
Shea;207
Zayla;207
Colbie;206
Inaya;206
Janessa;206
Majesty;206
Sharon;206
Dailyn;205
Emiliana;205
Ayanna;204
Ellery;204
Kassandra;204
Lilia;204
Tinley;204
Akira;202
Carson;202
Danica;202
Libby;202
Celina;200
Adela;199
Devyn;199
Evalynn;199
Jasmin;199
Kamille;199
Miya;199
Rhiannon;199
Sally;199
Tara;199
Antonia;198
Keziah;198
Maddie;198
Milah;198
Amyra;197
Aryanna;197
Beatrix;197
Jurnee;197
Montserrat;197
Nori;196
Vayda;196
Shayla;195
Taytum;195
Betty;194
Darcy;194
Emberlee;194
Soraya;194
Breanna;193
Kailyn;193
Laken;193
Quincy;193
Rowyn;193
Wendy;193
Campbell;192
Lakelyn;192
Leela;192
Moriah;192
Angelique;191
Ariadne;191
Karma;191
Katerina;191
Melania;190
Robyn;190
Yaritza;190
Adilynn;189
Ida;189
Karlie;189
Stacy;189
Kenya;188
Kinzley;188
Soleil;188
Aliah;187
Aura;187
Elowyn;187
Karley;187
Leylani;187
Ciara;186
Farrah;186
Honesty;186
Lailani;186
Sarahi;186
Aida;185
Ailyn;185
Alisa;185
Annabel;185
Arleth;185
Dania;185
Kalia;185
Kyndall;185
Rita;185
Sol;185
Alba;184
Emilie;184
Kacey;184
Elayna;183
Essence;183
Imogen;183
Keren;183
Mireya;183
Nailah;183
Rebeca;183
Tegan;183
Zion;183
Agnes;182
Emberlynn;182
Amethyst;181
Bryleigh;181
Eliyanah;181
Lincoln;181
Mariella;181
Rylynn;181
Vivianna;181
Addalyn;180
Alita;180
Cassie;180
Janae;180
Ireland;179
Kelani;179
Mazie;179
Ruthie;179
Cambria;178
Ziva;178
Ariela;177
Brenda;177
Alyvia;176
Araya;176
Jaida;176
Khadija;176
Rayleigh;176
Annette;175
Ayana;175
Jream;175
Maisyn;175
Riya;175
Tess;175
Malka;174
Sia;174
Ameera;173
Beverly;173
Emeri;173
Kenley;173
Saniyah;173
Seraphina;173
Vida;173
Khari;172
Lorena;172
Samiyah;172
Joslyn;171
Kylah;171
Mercedes;171
Petra;171
Preslee;171
Reya;171
Adilene;170
Lilyanna;170
Nayla;170
True;170
Alaiyah;169
Alex;169
Cristina;169
Finnley;169
Meera;169
Rosalynn;169
Isadora;168
Memphis;168
Ripley;168
Symphony;168
Addalynn;167
Audrina;167
Ayra;167
Mariyah;167
Maryjane;167
Monserrat;167
Rain;167
Rubi;167
Aadya;166
Adira;166
Carlee;166
Carsyn;166
Chiara;166
Elouise;166
Karmen;166
Kristina;166
Scottie;166
Sofie;166
Addie;165
Bayleigh;165
Brynley;165
Dara;165
Evelina;165
Jersey;165
Lesly;165
Rhylee;165
Diamond;164
Elani;164
Georgina;164
Jessa;164
Kailee;164
Tilly;164
Vivien;164
Elissa;163
Gisselle;163
Jaylynn;163
Marian;163
Yusra;163
Zahara;163
Amarah;162
Emmarie;162
Jordynn;162
Lucie;162
Amilia;161
Aubri;161
Carina;161
Delia;161
Kinsleigh;161
Zhavia;161
Angeline;160
Elowen;160
Emi;160
Inaaya;160
Journei;160
Kalina;160
Liz;160
Shyla;160
Zyla;160
Aranza;159
Leilah;159
Rori;159
Tabitha;159
Amya;158
Harlem;158
Kaycee;158
Roslyn;158
Selina;158
Sherlyn;158
Tia;158
Zia;158
Adina;157
Ally;157
Brinlee;157
Dina;157
Kenzley;157
Lorraine;157
Mika;157
Naila;157
Roselynn;157
Susanna;157
Althea;156
Anniston;156
Carmella;156
Courtney;156
Giada;156
Journie;156
Marlie;156
Silvia;156
Austin;155
Gaia;155
Karleigh;155
Katarina;155
Korra;155
Maelyn;155
Margaux;155
Serafina;155
Anabella;154
Blayke;154
Chevelle;154
Darla;154
Eila;154
Macey;154
Renesmee;154
Xyla;154
Alessa;153
Annelise;153
Asia;153
Joey;153
Jubilee;153
Kaleah;153
Kya;153
Nahla;153
Natalee;153
Raine;153
Salome;153
Theresa;153
Farah;152
Ira;152
Jenny;152
Kalea;152
Lavender;152
Rosalind;152
Yuna;152
Zaya;152
Alissa;151
Arizona;151
Bryanna;151
Geneva;151
Grecia;151
Gwyneth;151
Iyanna;151
Julianne;151
Winona;151
Aimee;150
Ashton;150
Bernadette;150
Heather;150
Maite;150
Valencia;150
Zadie;150
Aryah;149
Brenna;149
Diya;149
Emberlyn;149
Karis;149
Kasey;149
Kamiya;148
Siya;148
Alaiah;147
Asha;147
Aylah;147
Eleni;147
Hollyn;147
Martina;147
Temperance;147
Kaelynn;146
Nadine;146
Raleigh;146
Adalina;145
Anyla;145
Ayesha;145
Briley;145
Faigy;145
Hollis;145
Lakelynn;145
Lettie;145
Natalya;145
Yasmine;145
Adalie;144
Alaysia;144
Aryana;144
Brynnlee;144
Carlie;144
Kari;144
Maizie;144
Tru;144
Amor;143
Ayvah;143
Giulia;143
Kaira;143
Kynslee;143
Malak;143
Odette;143
Yuliana;143
Alya;142
Avyanna;142
Katelynn;142
Kiyomi;142
Rowen;142
Sahara;142
Sanaa;142
Yesenia;142
Clarke;141
Elinor;141
Jazzlyn;141
Rihanna;141
Romy;141
Sanai;141
Adaleigh;140
Ema;140
Indy;140
Juana;140
Khalia;140
Miller;140
Noel;140
Sidney;140
Tyler;140
Vaeda;140
Zarah;140
Annistyn;139
Cielo;139
Cindy;139
Daylin;139
Laikyn;139
Liah;139
Yarely;139
Anayah;138
Brayleigh;138
Carmela;138
Charity;138
Elly;138
Ivey;138
Merritt;138
Prisha;138
Shanaya;138
Taya;138
Aanya;137
Amiah;137
Anita;137
Ariadna;137
Blessyn;137
Evangelina;137
Gitty;137
Jalayah;137
Joan;137
Kristen;137
Mariela;137
Reece;137
Tala;137
Teigan;137
Annabeth;136
Audriana;136
Dariana;136
Devorah;136
Donna;136
Elara;136
Isha;136
Lizeth;136
Lottie;136
Yael;136
Asiya;135
Kensington;135
Nuri;135
Shirley;135
Skylynn;135
Calla;134
Elsy;134
Zaira;134
Amariah;133
Anneliese;133
Arlene;133
Camden;133
Damaris;133
Dayanna;133
Eisley;133
Empress;133
Fern;133
Jovi;133
Maleni;133
Mayra;133
Suri;133
Venus;133
Violetta;133
Ananya;132
Emry;132
Jazelle;132
Marlene;132
Yuri;132
Elin;131
Judy;131
Kailany;131
Katrina;131
Neriah;131
Noelia;131
Pepper;131
Tania;131
Zinnia;131
Anaiah;130
Audra;130
Belinda;130
Brighton;130
Cecily;130
Constance;130
Jailyn;130
Kyrie;130
Maura;130
Odessa;130
Sheila;130
Charlize;129
Emme;129
Gina;129
Jazmyn;129
Jolee;129
Kailynn;129
Maple;129
Santana;129
Shoshana;129
Verity;129
Annaleigh;128
Ashtyn;128
Fatimah;128
Izabelle;128
Jayden;128
Lucinda;128
Valkyrie;128
Zaina;128
Ayat;127
Edie;127
Huntleigh;127
Irie;127
Kenzi;127
Legaci;127
Niya;127
Novaleigh;127
Vivianne;127
Aislynn;126
Atlas;126
Coral;126
Kaci;126
Karolina;126
Lidia;126
Maribel;126
Star;126
Toni;126
America;125
Baila;125
Caitlyn;125
Jael;125
Kamya;125
Avalon;124
Carli;124
Emmalee;124
Harlyn;124
Janyla;124
Lindsay;124
Linnea;124
Lucero;124
Milagros;124
Solana;124
Storm;124
Cattleya;123
Emberleigh;123
Ester;123
Harlie;123
Janiya;123
Madyson;123
Priya;123
Rhyan;123
Aiyanna;122
Arie;122
Camellia;122
Dalila;122
Echo;122
Gentry;122
Harmonie;122
Italy;122
Leticia;122
Paulette;122
Stormy;122
Zella;122
Inara;121
Isabell;121
Kaleigh;121
Khadijah;121
Mileena;121
Nicolette;121
Pamela;121
Sterling;121
Tahlia;121
Taryn;121
Addelyn;120
Annaliese;120
Delanie;120
Esmae;120
Jaleah;120
Julietta;120
Kapri;120
Kenzlee;120
Kianna;120
Liya;120
Lori;120
Lux;120
Samaira;120
Tamia;120
Charlene;119
Ela;119
Kaliah;119
Letty;119
Lynlee;119
Naia;119
Nechama;119
Aiza;118
Aleyna;118
Estefany;118
Haddie;118
Makena;118
Maryn;118
May;118
Heidy;117
Jupiter;117
Regan;117
Xochitl;117
Abrielle;116
Adah;116
Cooper;116
Delta;116
Jaclyn;116
Jacquelyn;116
Laniyah;116
Larissa;116
Lilyann;116
Liyana;116
Liza;116
Lula;116
Pyper;116
Safa;116
Unique;116
Yvonne;116
Ameerah;115
Arwen;115
Bentley;115
Blakelyn;115
Claira;115
Danika;115
Kayden;115
Kyomi;115
Naima;115
Yaneli;115
Yvette;115
Arlet;114
Avaya;114
Aylani;114
Beatriz;114
Jamila;114
Sarina;114
Bowie;113
Bryn;113
Destinee;113
Elliette;113
Jamiyah;113
Jude;113
Zeynep;113
Aracely;112
Divine;112
Ines;112
Jocelynn;112
Lakyn;112
Lenna;112
Montana;112
Navi;112
Onyx;112
Skylah;112
Tillie;112
Yazmin;112
Yitty;112
Carleigh;111
Deanna;111
Emmi;111
Janie;111
Kayleen;111
Klara;111
Krystal;111
Laine;111
Zaynab;111
Bree;110
Christiana;110
Darlene;110
Ehlani;110
Estefania;110
Haizley;110
Kaelani;110
Lillyanna;110
Magdalene;110
Marielle;110
Milania;110
Nila;110
Noelani;110
Sonya;110
Ziya;110
Aleyah;109
Amberly;109
Anabelle;109
Ashanti;109
Audree;109
Caitlin;109
Katia;109
Lela;109
Marin;109
Mirha;109
Moira;109
Taliah;109
Tianna;109
Zylah;109
Amaira;108
Ashly;108
Aviva;108
Azul;108
Eris;108
Hawa;108
Kiley;108
Laynee;108
Chava;107
Juno;107
Kaila;107
Karissa;107
Kinsey;107
Leora;107
Roxana;107
Ruhi;107
Tamara;107
Wilhelmina;107
Yamilet;107
Zayda;107
Alaska;106
Aoife;106
Blakelee;106
Cori;106
Elana;106
Eleanore;106
Ivanka;106
Kacie;106
Kodi;106
Marion;106
Yasmeen;106
Ailany;105
Armoni;105
Avalee;105
Carley;105
Cienna;105
Emoni;105
Layna;105
Lillith;105
Marcela;105
Melinda;105
Nyah;105
Saniya;105
Avril;104
Hafsa;104
Iman;104
Jiya;104
Lois;104
Mckayla;104
Melia;104
Sahana;104
Zamora;104
Amaria;103
Amila;103
Coco;103
Eunice;103
Graciela;103
Isela;103
Kelsie;103
Lane;103
Milly;103
Presleigh;103
Rosabella;103
Safiya;103
Skylee;103
Taylin;103
Bennett;102
Danae;102
Hudson;102
Iva;102
Karli;102
Malky;102
Naveah;102
Pia;102
Channing;101
Cosette;101
Jules;101
Kaylen;101
Rosalinda;101
Samiya;101
Sybil;101
Zaida;101
Adilyn;100
Alahni;100
Angely;100
Berkeley;100
Carol;100
Charm;100
Daria;100
Elyana;100
Emori;100
Jaylen;100
Kynleigh;100
Lanie;100
Noella;100
Ridley;100
Rosemarie;100
Starr;100
Amorah;99
Beckett;99
Britney;99
Georgiana;99
Hartley;99
Hosanna;99
Irina;99
Laya;99
Mona;99
Nya;99
Rayla;99
Zelie;99
Alara;98
Aleigha;98
Amiracle;98
Analise;98
Brisa;98
Calista;98
Halima;98
Hayes;98
Kaitlynn;98
Keila;98
Khali;98
Khelani;98
Leni;98
Malina;98
Maritza;98
Millicent;98
Nariyah;98
Niyah;98
Raeleigh;98
Rena;98
Saphira;98
Shannon;98
Shaylee;98
Aubrianna;97
Blanca;97
Delylah;97
Geraldine;97
Glory;97
Indiana;97
Jakayla;97
Janice;97
Jaya;97
Kalayah;97
Kynzlee;97
Laynie;97
Maliya;97
Raelee;97
Story;97
Taelynn;97
Arabelle;96
Ellia;96
